benchmark_id,alg,benchmark,best_total_cost,avg_time_sec,solution
20,IteratedLocalSearch,tai20a,676002,0.0111432,4 11 19 18 17 7 2 5 6 14 16 10 9 15 3 8 1 13 12 0
20,LocalSearch,tai20a,650464,0.011627,18 8 14 16 3 9 0 10 4 15 5 6 19 12 17 1 11 13 2 7
40,IteratedLocalSearch,tai40a,3148528,0.0770496,5 19 9 13 10 27 21 15 22 35 2 14 20 23 29 1 3 0 24 12 39 37 7 11 34 33 8 18 36 6 31 17 4 25 30 38 28 16 26 32
40,LocalSearch,tai40a,3133552,0.066326,32 35 17 10 16 19 9 8 3 0 36 15 33 18 38 27 2 13 28 39 37 30 14 26 22 20 21 5 6 12 29 34 24 7 31 11 1 25 4 23
60,IteratedLocalSearch,tai60a,7255564,0.1307708,46 40 45 6 7 1 18 27 4 43 23 21 14 42 15 32 3 44 16 51 11 54 41 52 50 31 33 49 30 24 9 17 34 8 29 56 47 53 37 38 10 48 28 36 35 20 22 25 59 19 0 13 26 5 58 39 12 57 2 55
60,LocalSearch,tai60a,7439048,0.1623696,42 6 38 12 3 56 29 54 49 24 53 50 55 16 13 20 46 7 14 36 34 25 2 18 52 4 30 11 58 28 1 47 33 45 31 40 41 37 27 43 0 48 8 26 15 35 44 51 17 32 59 22 23 9 19 21 39 5 57 10
80,IteratedLocalSearch,tai80a,13659256,0.2389912,45 27 53 78 2 65 6 5 74 42 50 19 60 11 71 7 79 22 36 44 64 28 24 33 68 1 49 13 46 20 55 59 16 34 10 57 12 37 61 43 51 17 47 73 41 76 14 21 30 72 35 23 62 3 29 9 56 52 26 66 8 39 15 75 4 58 31 18 32 70 0 67 77 63 48 40 38 25 54 69
80,LocalSearch,tai80a,13623624,0.2207031,18 53 66 74 1 71 11 13 14 38 60 27 42 2 49 7 58 0 64 16 39 48 75 34 25 20 56 52 70 37 47 9 3 4 62 43 31 55 30 6 40 17 65 29 44 76 19 32 78 26 69 28 24 72 35 79 36 5 67 8 45 61 12 10 77 21 46 73 63 15 59 57 41 33 22 68 23 54 51 50
100,IteratedLocalSearch,tai100a,21458652,0.3337642,32 6 14 82 75 70 63 55 92 12 37 79 85 60 86 13 39 58 72 5 69 17 29 50 95 93 91 83 43 81 51 84 3 97 90 67 45 49 53 64 80 33 11 98 41 10 31 48 59 35 68 76 9 2 42 38 34 47 94 30 19 46 96 7 40 99 89 20 15 27 16 24 74 52 18 23 1 22 26 62 87 4 73 77 28 21 25 71 8 78 44 65 36 88 61 54 56 66 0 57
100,LocalSearch,tai100a,21452604,0.3363155,60 32 16 55 50 37 18 52 42 2 65 39 96 47 25 87 4 30 41 72 82 29 89 48 45 14 8 98 0 99 85 73 62 66 23 56 78 94 36 58 38 88 20 34 74 35 59 13 83 70 64 51 24 12 80 5 90 76 53 77 61 92 68 17 69 10 57 71 54 63 1 43 11 22 46 31 97 26 75 33 79 27 67 15 93 91 7 95 28 21 49 44 9 86 3 81 40 6 19 84
